"photographer","contribution count"
"Geoghegan, Thomas F.","3"

"Giorgio Laurati & C.","3"

"Graves Art Gallery","3"

"Gudiol","3"

"Haeseler Photographic Studios","3"

"Indianapolis Museum of Art","3"

"Laib, Paul","3"

"Lotti, Carlo","3"

"Lotze","3"

"Malter, Barbara","3"

"Mannelli, Anchise","3"

"Moretti, Mario","3"

"P. E. Chauffourier","3"

"Pezzetta, Silvano","3"

"Phoenix Art Museum","3"

"Rampazzi, Ferruccio","3"

"Saint Louis Art Museum","3"

"Sansaini, Renato","3"

"Smithsonian Institution, National Collection of Fine Arts","3"

"Solaria Fotografia","3"

"Sommer, Giorgio","3"

"Studio Art Photos","3"

"Studio Fotografico Perotti","3"

"Studio fotografico Bandieri","3"

"Tosi, Libero","3"

"Underwood, John","3"

"Vaul�, Y.","3"

"Wildenstein","3"

"Zagnoli, Alfonso","3"

"Zambruno","3"

"Agosto, Mario","2"

"Anelli, Sergio","2"

"Archivio Fotografico dell'Universit� di Bologna","2"

"Associated Commercial Photographers","2"

"Atelier 53","2"

"Bazzechi, Ivo","2"

"Beccaria, P.","2"

"Bestetti, C.","2"

"Beyer, G�nther","2"

"Borel, L.","2"

"Bottura, Erminio","2"

"Bozzato","2"

"Bozzetto, Mario","2"

"Brembilla, Efrem","2"

"Brizi, Fulvio","2"

"Brunetti, Federico","2"

"Burnell, William Earl","2"

"Busch-Hauck, Gabriele","2"

"Calderisi, Michele Valentino","2"

"Cascianelli, P.","2"

"Chiolini, Guglielmo","2"

"Cipollina, Paolo","2"

"Conner, Con","2"

"Cortopassi, Ettore","2"

"Coulbourn Brown, W.","2"

"Danesin, Menotti","2"

"Edelmann, Ursula","2"

"Edizioni d'Arte Pandimiglio","2"

"Eilers, Bernard F.","2"

"Electa","2"

"Elsam, Mann and Cooper","2"

"Elvehjem Museum of Art, University of Wisconsin","2"

"Emmer, Claudio","2"

"Foto Barsotti","2"

"Foto Boero","2"

"Foto Gioberti","2"

"Foto Locchi","2"

"Foto Moderna","2"

"Foto Paoletti di Mario Zacchetti","2"

"Foto Parlatini","2"

"Foto Pugnaghi","2"

"Foto Studio Color","2"

"Fotografia A. Premi","2"

"Fotografia Artistica Industriale. Rinaldo Schreiber","2"

"Fotottica Aldo","2"

"Frankenstein","2"

"Galleria Gasparrini","2"

"Gem�ldegalerie der Akademie der bildenden K�nste","2"

"Giraldi, Stefano","2"

"Giroud","2"

"Guggenb�hl, Peter","2"

"Hartmann, W.","2"

"Hollow, Matthew","2"

"Hutrel","2"

"Immagine fotografica","2"

"Janisson, J.","2"

"Jurysek, Jaroslav","2"

"Kimbell Art Museum","2"

"Kleinberger Galleries","2"

"Knoerr, B. K.","2"

"Lazzeri","2"

"Lensini, Fabio","2"

"Lomeo, Angelo","2"

"Lupatelli Roncalli, Saverio","2"

"Magyar Film Iroda","2"

"Manuli, Ugo","2"

"Manusardi, B.P.","2"

"Maraglio, E.","2"

"Marini, Sisinio","2"

"Matarazzo, Giovanni","2"

"Mattei, Franco","2"

"Mazzia, F.","2"

"Monti, Paolo","2"

"Museo Nacional de Bellas Artes, Taller Fotogr�fico","2"

"Museo Nacional del Prado. Laboratorio fotografico","2"

"Neubert, Ladislav","2"

"New York Historical Society","2"

"N�rodn� galerie v Praze","2"

"O' Sughrue, Claude","2"

"Olivi Fotocolor","2"

"Olsson J.F. & Co.","2"

"Pax et Bonum","2"

"Peyrot, G.","2"

"Publifoto","2"

"Recalcati","2"

"Regales, Ernesto","2"

"Reiffenstein","2"

"Rijksmuseum Kr�ller-M�ller","2"

"Rossetti, Secondo","2"

"Royal Collection","2"

"Russell, Walter J.","2"

"Sauter, George Philip","2"

"Scansani, Walter","2"

"Sinigaglia, Gian","2"

"Sisti","2"

"Sommariva, Emilio","2"

"Soprintendenza Beni Culturali ed Ambientali Palermo","2"

"Sorgato, Ferruccio","2"

"Sproul, A. E.","2"

"Staatliche Kunstsammlungen Kassel","2"

"Stadelschen Kunstinstituts Frankfurt","2"

"Stearn & Sons","2"

"Steinmetz, Joseph Janney","2"

"Sterle, Giacomo (Studio Ceregato)","2"

"Studio Fotografico Da Re","2"

"Studio Fotografico Moderno","2"

"Studio d'Arte Fotografica Mastellone","2"

"Sylvestre, Jules","2"

"Tarbox Beals, Jessie","2"

"Tecnifoto","2"

"The College Studios","2"

"The Corcoran Gallery of Art","2"

"The Montreal Museum of Fine Arts","2"

"The Toledo Museum of Art","2"

"Ufficio Fotoriproduzioni. Biblioteca Ambrosiana","2"

"Uht, Charles","2"

"Ulster Museum","2"

"Vicari, Vincenzo","2"

"Virginia Museum of Fine Arts","2"

"Vose, Herbert P.","2"

"Walker, Emery","2"

"Wehrli","2"

"Wyatt, A. J.","2"

"Zimmermann, G�rard","2"

"Accademia dei Concordi","1"

"Alari, Massimo","1"

"Allegri Ugo Fotografia","1"

"Allemand, Auguste","1"

"Alt-Lee","1"

"Ancillotti, Carlo","1"

"Angerer, Victor","1"

"Aragozzini, Vincenzo","1"

"Archivio Fotografico della Fondazione Torino Musei","1"

"Archivio e Laboratorio fotografico della Soprintendenza per i beni artistici, storici ed etnoantropologici per le province di Venezia, Belluno, Padova e Treviso","1"

"Archivio fotografico della Soprintendenza per i beni storici, artistici ed etnoantropologici per le province di Brescia, Cremona e Mantova","1"

"Arlaud, Jean","1"

"Arslan E.","1"

"Artigue, L.","1"

"Atelier Arzt","1"

"Atelier Dager","1"

"Atelier Municipal de Reprographie","1"

"Aucone, Giovanni","1"

"B.P.M.","1"

"Ball State University","1"

"Ballerini, E.","1"

"Balzarini, C.","1"

"Baraldi, Fratelli","1"

"Bauer, Robert A.E.","1"

"Bearne's","1"

"Bellavigna","1"

"Benedict","1"

"Berardi, Mario","1"

"Bertani, Ettore","1"

"Bertoni","1"

"Bianchetti, Gian Franco","1"

"Bijtebier, Paul","1"

"Bilden Illustrationsfoto","1"

"Blauel/Gnamm - Artothek","1"

"Bolletti, Francesco","1"

"Bolognesi - Orsini","1"

"Borel-Boissonnas, Gad","1"

"Bosch, A.","1"

"Bovolenta, Alfio","1"

"Bratic","1"

"Bravo, Dante","1"

"Brenwasser, Eugene","1"

"Brisighelli, Attilio","1"

"British Museum","1"

"Br�nel","1"

"Burstein, Barney","1"

"Burton","1"

"Busi","1"

"CTK","1"

"Cacco, Giorgio","1"

"Camera, Giuseppe","1"

"Candio, Italo","1"

"Cantera","1"

"Cappellani, Dante","1"

"Caprioli","1"

"Caratelli","1"

"Cargnel, Bruno","1"

"Carlebach, Alfred","1"

"Cartwright Hall Art Gallery","1"

"Castelli, Wilhelm","1"

"Castrichini, Marcello","1"

"Centro Internazione di Documentazione per le Arti","1"

"Ceretti, Giuseppe","1"

"Chaland, Robert","1"

"Chaucer Fine Arts","1"

"Chierici","1"

"Chiodi, Walter","1"

"Chomon, Perino","1"

"Cinecolorfoto","1"

"Cinefototecnica La Greca","1"

"Cinelli, Silvano","1"

"Ciol, Elio","1"

"City Art Gallery Bristol","1"

"City Art Gallery Manchester","1"

"Ciurnelli","1"

"Civico Archivio Fotografico del Comune di Milano","1"

"Clarke, Frederick","1"

"Clementini, Giuseppe","1"

"Clements, Geoffrey","1"

"Cleveland, Stephen G.","1"

"Cobb, E.S.","1"

"Colin Jeffrey Associates","1"

"Collezioni Reali, Stoccolma","1"

"Colten","1"

"Colten & Siegler","1"

"Comisi�n Nacional de Museos y Lugares Hist�ricos","1"

"Cooper and Humphreys","1"

"Coppola, Bito","1"

"Corbara, Antonio","1"

"Corsini, Harold","1"

"Costi, E.","1"

"Crimella, Mario","1"

"Cuhel, Emil","1"

"Dalla Casa","1"

"Danvers, Alain","1"

"Dayton Art Institute","1"

"De Antonis, Pasquale","1"

"De Federicis, Francesco","1"

"Delmas, Charles","1"

"Delraux, Albert","1"

"Dossi, U.","1"

"Doumic, Philippe R.","1"

"Ecclesia, Vittorio","1"

"Eddy, Don","1"

"Effner, Walter","1"

"Elfelt, Peter","1"

"Faraglia, Cesare","1"

"Faxon, Floyd","1"

"Fear, Mike","1"

"Felici","1"

"Ferrari, Gianni","1"

"Ferrario, Achille","1"

"Fine Art Engravers Ltd.","1"

"Fiorillo, Edouard","1"

"Forero, Diego","1"

"Foto Atelier Bijl","1"

"Foto Bleynat","1"

"Foto Conca","1"

"Foto Cortopassi","1"

"Foto Cresta","1"

"Foto Laboratorio Vito e Damiano","1"

"Foto Massa","1"

"Foto Visconti","1"

"Fotoattualit� di Attilio Costantini","1"

"Fotografia Rossi","1"

"Fotostampa Ficarelli","1"

"Fotostudio Fazioli","1"

"Fotostudio Max","1"

"Fototeca dei Civici Musei e Gallerie di Storia dell'Arte di Udine","1"

"Fototeca dei Musei Civici d'Arte e Storia di Brescia","1"

"Fototeca della Soprintendenza per i Beni Architettonici e per il Paesaggio, per il Patrimonio Storico, Artistico ed Etnoantropologico della Provincia di Arezzo","1"

"Fototecnica Brasilia","1"

"Fox Photos","1"

"Franci, Gino","1"

"Frequin, A.","1"

"Froment","1"

"Galerie Heinemann","1"

"Galerie Trotti","1"

"Gallerini","1"

"Gasparini, E.","1"

"Gerlach, Martin","1"

"Ghilain-Attenelle","1"

"Giancarlo Baroni Tableaux","1"

"Giancolombo","1"

"Giandean","1"

"Giordani, Francesco","1"

"Giovetti","1"

"Giovetti Fotografia & Comunicazioni Visive","1"

"Gouder, Alfred Edward","1"

"Gourdin, Henri","1"

"Grace Gallery","1"

"Green Studio Ltd.","1"

"Griffith W. - Photographers Associated","1"

"Grollo, Jos�","1"

"Guidotti, Fratelli","1"

"Guidotti, Guido","1"

"Guzzoni, Giulio","1"

"H.J. Chapman & Co.","1"

"Harari and Johns","1"

"Hazlitt Gallery","1"

"Heinz, Noser","1"

"Helga Photo Studio","1"

"Henry E. Huntington Library and Art Gallery","1"

"Honolulu Academy of Arts","1"

"Hood Museum of Art, Dartmouth College","1"

"Hurel, R.","1"

"H�ch, Franz","1"

"H�flinger, August","1"

"International Foundation for Art Research, Inc. (IFAR)","1"

"Iris and B. Gerald Cantor Center for Visual Arts at Stanford University","1"

"Istituto Nazionale di Archeologia e Storia dell'Arte. Fototeca","1"

"J. Paul Getty Museum","1"

"Jonals og Co.","1"

"Jones & Morris","1"

"Judkin, T.R.","1"

"Kantonspolizei","1"

"Karlsen, Alfred S.","1"

"Kestner Museum","1"

"Kleinhempel","1"

